Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.19      5.18     0.01                             _init
  0.00      5.18     0.00  4654401     0.00     0.00  Vec3::dot(Vec3) const
  0.00      5.18     0.00   908892     0.00     0.00  Vec2::isSmaller(Vec2 const&) const
  0.00      5.18     0.00   748572     0.00     0.00  Vec2::operator=(Vec2 const&)
  0.00      5.18     0.00   247638     0.00     0.00  Vec2::getLength() const
  0.00      5.18     0.00   154554     0.00     0.00  Vec2::operator<(Vec2 const&) const
  0.00      5.18     0.00   147496     0.00     0.00  Shader::getID() const
  0.00      5.18     0.00   141398     0.00     0.00  Vec2::operator-(Vec2 const&) const
  0.00      5.18     0.00   122605     0.00     0.00  Chunk::generatePosOffsets()
  0.00      5.18     0.00    29393     0.00     0.00  Camera::unProjectToOrigin(float, float, Matrix)
  0.00      5.18     0.00    25131     0.00     0.00  Vec2::Vec2(int, int)
  0.00      5.18     0.00    18670     0.00     0.00  Vec3::operator=(Vec3 const&)
  0.00      5.18     0.00    15768     0.00     0.00  appWindow::getWindow()
  0.00      5.18     0.00    15092     0.00     0.00  Vec3::getNormalized() const
  0.00      5.18     0.00    14970     0.00     0.00  Vec3::at(int) const
  0.00      5.18     0.00    13846     0.00     0.00  Matrix::Matrix(std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >)
  0.00      5.18     0.00    12232     0.00     0.00  Vec2::operator+(Vec2 const&) const
  0.00      5.18     0.00     8341     0.00     0.00  stbi__grow_buffer_unsafe(stbi__jpeg*)
  0.00      5.18     0.00     8273     0.00     0.00  Vec3::cross(Vec3) const
  0.00      5.18     0.00     7947     0.00     0.00  void std::vector<std::pair<Vec2, Chunk*>, std::allocator<std::pair<Vec2, Chunk*> > >::_M_realloc_insert<std::pair<Vec2, Chunk*> const&>(__gnu_cxx::__normal_iterator<std::pair<Vec2, Chunk*>*, std::vector<std::pair<Vec2, Chunk*>, std::allocator<std::pair<Vec2, Chunk*> > > >, std::pair<Vec2, Chunk*> const&)
  0.00      5.18     0.00     5574     0.00     0.00  Matrix::createRotationMatrix(Matrix::RotationDirection, float)
  0.00      5.18     0.00     5203     0.00     0.00  Camera::getPos() const
  0.00      5.18     0.00     4267     0.00     0.00  ResourceManager::getBlockTexture(int)
  0.00      5.18     0.00     4205     0.00     0.00  Vec3::operator-() const
  0.00      5.18     0.00     4134     0.00     0.00  Shader::use() const
  0.00      5.18     0.00     4068     0.00     0.00  Matrix::Matrix(Matrix const&)
  0.00      5.18     0.00     3216     0.00     0.00  Matrix::exportForGL()
  0.00      5.18     0.00     3063     0.00     0.00  appWindow::getWindowHeight()
  0.00      5.18     0.00     2232     0.00     0.00  Matrix::operator*=(Matrix const&)
  0.00      5.18     0.00     2170     0.00     0.00  TextManager::print(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, double)
  0.00      5.18     0.00     2165     0.00     0.00  Matrix::createTranslationMatrix(float, float, float)
  0.00      5.18     0.00     2160     0.00     0.00  Camera::updateFrustum(bool)
  0.00      5.18     0.00     2150     0.00     0.00  Matrix::operator=(Matrix const&)
  0.00      5.18     0.00     2127     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      5.18     0.00     2118     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      5.18     0.00     2098     0.00     0.00  Camera::getMatrix()
  0.00      5.18     0.00     2095     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >::equal_range(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      5.18     0.00     2093     0.00     0.00  World::getCamera()
  0.00      5.18     0.00     2090     0.00     0.00  std::vector<float, std::allocator<float> >::_M_default_append(unsigned long)
  0.00      5.18     0.00     2065     0.00     0.00  Camera::actualizeView()
  0.00      5.18     0.00     2031     0.00     0.00  appWindow::getWindowSize(int*, int*)
  0.00      5.18     0.00     2016     0.00     0.00  resample_row_1(unsigned char*, unsigned char*, unsigned char*, int, int)
  0.00      5.18     0.00     1424     0.00     0.00  std::_Function_handler<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> (), std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<std::_Bind<World::updateChunkBuffers(Vec2)::{lambda(int, Chunk*)#1} (std::_Placeholder<1>, Chunk*)>, std::allocator<int>, void (int)>::_M_run(int&&)::{lambda()#1}, void> >::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      5.18     0.00     1395     0.00     0.00  stbi__get8(stbi__context*)
  0.00      5.18     0.00     1304     0.00     0.00  Matrix::operator*(Vec3 const&) const
  0.00      5.18     0.00     1272     0.00     0.00  Matrix::vectorMult(Vec3) const
  0.00      5.18     0.00     1122     0.00     0.00  Vec2::Vec2()
  0.00      5.18     0.00     1105     0.00     0.00  void std::vector<std::pair<Vec2, Chunk*>, std::allocator<std::pair<Vec2, Chunk*> > >::_M_realloc_insert<std::pair<Vec2, Chunk*> >(__gnu_cxx::__normal_iterator<std::pair<Vec2, Chunk*>*, std::vector<std::pair<Vec2, Chunk*>, std::allocator<std::pair<Vec2, Chunk*> > > >, std::pair<Vec2, Chunk*>&&)
  0.00      5.18     0.00     1079     0.00     0.00  ResourceManager::bindTextures()
  0.00      5.18     0.00     1079     0.00     0.00  World::update()
  0.00      5.18     0.00     1067     0.00     0.00  appWindow::getWindowWidth()
  0.00      5.18     0.00     1066     0.00     0.00  World::render()
  0.00      5.18     0.00     1052     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<Vec2 const, Chunk*> >, bool> std::_Rb_tree<Vec2, std::pair<Vec2 const, Chunk*>, std::_Select1st<std::pair<Vec2 const, Chunk*> >, std::less<Vec2>, std::allocator<std::pair<Vec2 const, Chunk*> > >::_M_emplace_unique<std::pair<Vec2, Chunk*> >(std::pair<Vec2, Chunk*>&&)
  0.00      5.18     0.00     1049     0.00     0.00  Loop::processInput()
  0.00      5.18     0.00     1034     0.00     0.00  Chunk::worldCoordToChunk(Vec3)
  0.00      5.18     0.00     1033     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int const&>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int const&)
  0.00      5.18     0.00     1032     0.00     0.00  Skybox::draw(Matrix&)
  0.00      5.18     0.00     1030     0.00     0.00  TextManager::tickPrint()
  0.00      5.18     0.00     1029     0.00     0.00  Vec2::operator!=(Vec2 const&) const
  0.00      5.18     0.00     1018     0.00     0.00  World::printPos() const
  0.00      5.18     0.00     1012     0.00     0.00  Camera::rotate(double, double)
  0.00      5.18     0.00     1011     0.00     0.00  Camera::move(bool, bool, bool, bool, float)
  0.00      5.18     0.00      997     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::pair<Vec2, Chunk*>*, std::vector<std::pair<Vec2, Chunk*>, std::allocator<std::pair<Vec2, Chunk*> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<World::render()::{lambda(std::pair<Vec2, Chunk*>&, std::pair<Vec2, Chunk*>&)#1}> >(__gnu_cxx::__normal_iterator<std::pair<Vec2, Chunk*>*, std::vector<std::pair<Vec2, Chunk*>, std::allocator<std::pair<Vec2, Chunk*> > > >, __gnu_cxx::__normal_iterator<std::pair<Vec2, Chunk*>*, std::vector<std::pair<Vec2, Chunk*>, std::allocator<std::pair<Vec2, Chunk*> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<World::render()::{lambda(std::pair<Vec2, Chunk*>&, std::pair<Vec2, Chunk*>&)#1}>)
  0.00      5.18     0.00      984     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<std::pair<Vec2, Chunk*>*, std::vector<std::pair<Vec2, Chunk*>, std::allocator<std::pair<Vec2, Chunk*> > > >, __gnu_cxx::__ops::_Iter_comp_iter<World::render()::{lambda(std::pair<Vec2, Chunk*>&, std::pair<Vec2, Chunk*>&)#1}> >(__gnu_cxx::__normal_iterator<std::pair<Vec2, Chunk*>*, std::vector<std::pair<Vec2, Chunk*>, std::allocator<std::pair<Vec2, Chunk*> > > >, __gnu_cxx::__normal_iterator<std::pair<Vec2, Chunk*>*, std::vector<std::pair<Vec2, Chunk*>, std::allocator<std::pair<Vec2, Chunk*> > > >, __gnu_cxx::__ops::_Iter_comp_iter<World::render()::{lambda(std::pair<Vec2, Chunk*>&, std::pair<Vec2, Chunk*>&)#1}>) [clone .constprop.0]
  0.00      5.18     0.00      862     0.00     0.00  World::getPosInRange(Vec2, float, float)
  0.00      5.18     0.00      848     0.00     0.00  std::_Rb_tree<Vec2, std::pair<Vec2 const, Chunk*>, std::_Select1st<std::pair<Vec2 const, Chunk*> >, std::less<Vec2>, std::allocator<std::pair<Vec2 const, Chunk*> > >::equal_range(Vec2 const&)
  0.00      5.18     0.00      810     0.00     0.00  Object::~Object()
  0.00      5.18     0.00      791     0.00     0.00  Chunk::~Chunk()
  0.00      5.18     0.00      687     0.00     0.00  World::getAllocatedNeighbours(Vec2)
  0.00      5.18     0.00      672     0.00     0.00  stbi__YCbCr_to_RGB_simd(unsigned char*, unsigned char const*, unsigned char const*, unsigned char const*, int, int)
  0.00      5.18     0.00      604     0.00     0.00  Object::Object()
  0.00      5.18     0.00      597     0.00     0.00  void std::vector<std::vector<std::pair<Chunk::bloc, Vec3>, std::allocator<std::pair<Chunk::bloc, Vec3> > >, std::allocator<std::vector<std::pair<Chunk::bloc, Vec3>, std::allocator<std::pair<Chunk::bloc, Vec3> > > > >::_M_realloc_insert<std::vector<std::pair<Chunk::bloc, Vec3>, std::allocator<std::pair<Chunk::bloc, Vec3> > > >(__gnu_cxx::__normal_iterator<std::vector<std::pair<Chunk::bloc, Vec3>, std::allocator<std::pair<Chunk::bloc, Vec3> > >*, std::vector<std::vector<std::pair<Chunk::bloc, Vec3>, std::allocator<std::pair<Chunk::bloc, Vec3> > >, std::allocator<std::vector<std::pair<Chunk::bloc, Vec3>, std::allocator<std::pair<Chunk::bloc, Vec3> > > > > >, std::vector<std::pair<Chunk::bloc, Vec3>, std::allocator<std::pair<Chunk::bloc, Vec3> > >&&)
  0.00      5.18     0.00      562     0.00     0.00  stbi__get16be(stbi__context*)
  0.00      5.18     0.00      541     0.00     0.00  void std::vector<Vec2, std::allocator<Vec2> >::_M_realloc_insert<Vec2 const&>(__gnu_cxx::__normal_iterator<Vec2*, std::vector<Vec2, std::allocator<Vec2> > >, Vec2 const&)
  0.00      5.18     0.00      510     0.00     0.00  Vec3::operator+=(Vec3 const&)
  0.00      5.18     0.00      504     0.00     0.00  stbi__idct_simd(unsigned char*, int, short*)
  0.00      5.18     0.00      453     0.00     0.00  Vec3::getSquaredLength() const
  0.00      5.18     0.00      330     0.00     0.00  stbi__stdio_read(void*, char*, int)
  0.00      5.18     0.00      313     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<Vec2 const, Chunk*> >, bool> std::_Rb_tree<Vec2, std::pair<Vec2 const, Chunk*>, std::_Select1st<std::pair<Vec2 const, Chunk*> >, std::less<Vec2>, std::allocator<std::pair<Vec2 const, Chunk*> > >::_M_emplace_unique<std::pair<Vec2, Chunk*>&>(std::pair<Vec2, Chunk*>&)
  0.00      5.18     0.00      300     0.00     0.00  stbi__jpeg_decode_block_prog_dc(stbi__jpeg*, short*, stbi__huffman*, int)
  0.00      5.18     0.00      257     0.00     0.00  VoxelGenerator::initialize(int, bool)
  0.00      5.18     0.00      256     0.00     0.00  Vec3::operator/=(float) const
  0.00      5.18     0.00      204     0.00     0.00  stbi__jpeg_decode_block(stbi__jpeg*, short*, stbi__huffman*, stbi__huffman*, short*, int, unsigned short*)
  0.00      5.18     0.00      194     0.00     0.00  stbi__process_marker(stbi__jpeg*, int)
  0.00      5.18     0.00      193     0.00     0.00  stbi__build_huffman(stbi__huffman*, int*)
  0.00      5.18     0.00      157     0.00     0.00  std::_Sp_counted_ptr_inplace<std::packaged_task<void (int)>, std::allocator<std::packaged_task<void (int)> >, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      5.18     0.00      130     0.00     0.00  std::__future_base::_Result<void>::~_Result()
  0.00      5.18     0.00      128     0.00     0.00  std::_Rb_tree<char, std::pair<char const, Character>, std::_Select1st<std::pair<char const, Character> >, std::less<char>, std::allocator<std::pair<char const, Character> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<char const, Character> >, char const&)
  0.00      5.18     0.00      122     0.00     0.00  std::_Function_handler<void (int), ctpl::thread_pool::push<World::updateChunkBuffers(Vec2)::{lambda(int, Chunk*)#1}&, Chunk*&>(World::updateChunkBuffers(Vec2)::{lambda(int, Chunk*)#1}&, Chunk*&)::{lambda(int)#1}>::_M_invoke(std::_Any_data const&, int&&)
  0.00      5.18     0.00      120     0.00     0.00  std::_Sp_counted_ptr_inplace<std::packaged_task<void (int)>, std::allocator<std::packaged_task<void (int)> >, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      5.18     0.00      115     0.00     0.00  Chunk::Chunk(int, int, Camera*, std::vector<std::pair<Vec2, Chunk*>, std::allocator<std::pair<Vec2, Chunk*> > >)
  0.00      5.18     0.00      103     0.00     0.00  std::_Sp_counted_ptr_inplace<std::__future_base::_Task_state<std::_Bind<World::World()::{lambda(int, Chunk*)#1} (std::_Placeholder<1>, Chunk*)>, std::allocator<int>, void (int)>, std::allocator<int>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      5.18     0.00      102     0.00     0.00  stbi__get32be(stbi__context*)
  0.00      5.18     0.00       88     0.00     0.00  std::_Function_handler<void (int), ctpl::thread_pool::push<World::updateChunkBuffers(Vec2)::{lambda(int, Chunk*)#1}&, Chunk*&>(World::updateChunkBuffers(Vec2)::{lambda(int, Chunk*)#1}&, Chunk*&)::{lambda(int)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      5.18     0.00       84     0.00     0.00  stbi__get_marker(stbi__jpeg*)
  0.00      5.18     0.00       84     0.00     0.00  std::_Sp_counted_ptr_inplace<std::__future_base::_Task_state<std::_Bind<World::updateChunkBuffers(Vec2)::{lambda(int, Chunk*)#1} (std::_Placeholder<1>, Chunk*)>, std::allocator<int>, void (int)>, std::allocator<int>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      5.18     0.00       79     0.00     0.00  std::__future_base::_Task_state<std::_Bind<World::updateChunkBuffers(Vec2)::{lambda(int, Chunk*)#1} (std::_Placeholder<1>, Chunk*)>, std::allocator<int>, void (int)>::_M_run(int&&)
  0.00      5.18     0.00       75     0.00     0.00  stbi__malloc_mad3(int, int, int, int)
  0.00      5.18     0.00       74     0.00     0.02  World::World()
  0.00      5.18     0.00       72     0.00     0.02  std::_Function_handler<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> (), std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<std::_Bind<World::updateChunkBuffers(Vec2)::{lambda(int, Chunk*)#1} (std::_Placeholder<1>, Chunk*)>, std::allocator<int>, void (int)>::_M_run(int&&)::{lambda()#1}, void> >::_M_invoke(std::_Any_data const&)
  0.00      5.18     0.00       65     0.00     0.00  stbi__resample_row_h_2(unsigned char*, unsigned char*, unsigned char*, int, int)
  0.00      5.18     0.00       56     0.00     0.00  Vec3::operator-=(Vec3 const&)
  0.00      5.18     0.00       54     0.00     0.00  stbi__skip(stbi__context*, int)
  0.00      5.18     0.00       48     0.00     0.00  stbi__load_main(stbi__context*, int*, int*, int*, int, stbi__result_info*, int)
  0.00      5.18     0.00       48     0.00     0.00  stbi__load_and_postprocess_8bit(stbi__context*, int*, int*, int*, int)
  0.00      5.18     0.00       48     0.00     0.00  std::_Function_handler<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> (), std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<std::_Bind<World::World()::{lambda(int, Chunk*)#1} (std::_Placeholder<1>, Chunk*)>, std::allocator<int>, void (int)>::_M_run(int&&)::{lambda()#1}, void> >::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      5.18     0.00       46     0.00     0.00  std::_Function_handler<void (int), ctpl::thread_pool::push<World::World()::{lambda(int, Chunk*)#1}&, Chunk*&>(World::World()::{lambda(int, Chunk*)#1}&, Chunk*&)::{lambda(int)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      5.18     0.00       45     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<Vec2*, std::vector<Vec2, std::allocator<Vec2> > >, __gnu_cxx::__ops::_Iter_comp_iter<World::getPosInRange(Vec2, float, float)::{lambda(Vec2, Vec2)#1}> >(__gnu_cxx::__normal_iterator<Vec2*, std::vector<Vec2, std::allocator<Vec2> > >, __gnu_cxx::__normal_iterator<Vec2*, std::vector<Vec2, std::allocator<Vec2> > >, __gnu_cxx::__ops::_Iter_comp_iter<World::getPosInRange(Vec2, float, float)::{lambda(Vec2, Vec2)#1}>)
  0.00      5.18     0.00       42     0.00     0.00  stbi__gif_test_raw(stbi__context*)
  0.00      5.18     0.00       42     0.00     0.00  stbi__mad3sizes_valid(int, int, int, int)
  0.00      5.18     0.00       42     0.00     0.00  stbi__decode_jpeg_image(stbi__jpeg*)
  0.00      5.18     0.00       41     0.00     0.00  std::_Function_handler<void (int), ctpl::thread_pool::push<World::World()::{lambda(int, Chunk*)#1}&, Chunk*&>(World::World()::{lambda(int, Chunk*)#1}&, Chunk*&)::{lambda(int)#1}>::_M_invoke(std::_Any_data const&, int&&)
  0.00      5.18     0.00       41     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<Vec2*, std::vector<Vec2, std::allocator<Vec2> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<World::getPosInRange(Vec2, float, float)::{lambda(Vec2, Vec2)#1}> >(__gnu_cxx::__normal_iterator<Vec2*, std::vector<Vec2, std::allocator<Vec2> > >, __gnu_cxx::__normal_iterator<Vec2*, std::vector<Vec2, std::allocator<Vec2> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<World::getPosInRange(Vec2, float, float)::{lambda(Vec2, Vec2)#1}>)
  0.00      5.18     0.00       35     0.00     0.00  std::__future_base::_Task_state<std::_Bind<World::World()::{lambda(int, Chunk*)#1} (std::_Placeholder<1>, Chunk*)>, std::allocator<int>, void (int)>::_M_run(int&&)
  0.00      5.18     0.00       32     0.00     0.02  std::_Function_handler<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> (), std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<std::_Bind<World::World()::{lambda(int, Chunk*)#1} (std::_Placeholder<1>, Chunk*)>, std::allocator<int>, void (int)>::_M_run(int&&)::{lambda()#1}, void> >::_M_invoke(std::_Any_data const&)
